date,billet_cis_fob,billet_gcc_cfr,billet_saudi_exworks,coke_lvliang_china,coke_rizhao_china,coking_coal_australia,iron_ore_62fe,rebar_turkey_fob,rebar_uae_exworks,scrap_hms12_turkey
2023-12-01,494.0,497.5,540.6666666666666,308.00000000000006,340.20000000000005,328.9,133.53,587.5,2389.0,412.5
2023-12-02,494.0,497.5,540.6666666666666,308.00000000000006,340.20000000000005,328.9,133.53,587.5,2389.0,412.5
2023-12-03,494.0,497.5,540.6666666666666,308.00000000000006,340.20000000000005,328.9,133.53,587.5,2389.0,412.5
2023-12-04,494.0,497.5,540.6666666666666,308.00000000000006,340.20000000000005,328.9,129.47,587.5,2389.0,413.5
2023-12-05,494.0,497.5,540.6666666666666,308.00000000000006,340.20000000000005,328.9,129.73,592.5,2389.0,415.0
2023-12-06,494.0,497.5,540.6666666666666,308.00000000000006,340.20000000000005,328.9,133.64,595.0,2389.0,420.0
2023-12-07,494.0,497.5,540.6666666666666,308.00000000000006,340.20000000000005,328.9,136.2,600.0,2389.0,427.5
2023-12-08,501.5,497.5,540.6666666666666,308.00000000000006,337.40000000000003,332.75,136.49,605.0,2389.0,428.0
2023-12-09,501.5,497.5,540.6666666666666,308.00000000000006,337.40000000000003,332.75,136.49,605.0,2389.0,428.0
2023-12-10,501.5,497.5,540.6666666666666,308.00000000000006,337.40000000000003,332.75,136.49,605.0,2389.0,428.0
2023-12-11,501.5,497.5,540.6666666666666,308.00000000000006,337.40000000000003,332.75,135.39,607.5,2389.0,428.0
2023-12-12,501.5,497.5,540.6666666666666,308.00000000000006,337.40000000000003,332.75,137.59,607.5,2389.0,428.0
2023-12-13,501.5,497.5,540.6666666666666,308.00000000000006,337.40000000000003,332.75,135.87,607.5,2389.0,428.0
2023-12-14,501.5,497.5,540.6666666666666,308.00000000000006,337.40000000000003,332.75,135.74,607.5,2389.0,428.0
2023-12-15,512.5,512.5,536.0,322.00000000000006,336.00000000000006,304.87,135.62,607.5,2389.0,428.0
2023-12-16,512.5,512.5,536.0,322.00000000000006,336.00000000000006,304.87,135.62,607.5,2389.0,428.0
2023-12-17,512.5,512.5,536.0,322.00000000000006,336.00000000000006,304.87,135.62,607.5,2389.0,428.0
2023-12-18,512.5,512.5,536.0,322.00000000000006,336.00000000000006,304.87,134.49,607.5,2389.0,428.0
2023-12-19,512.5,512.5,536.0,322.00000000000006,336.00000000000006,304.87,134.62,605.0,2389.0,427.5
2023-12-20,512.5,512.5,536.0,322.00000000000006,336.00000000000006,304.87,134.96,603.5,2389.0,427.0
2023-12-21,512.5,512.5,536.0,322.00000000000006,336.00000000000006,304.87,137.29,602.5,2389.0,426.5
2023-12-22,512.5,505.0,533.3333333333334,322.00000000000006,334.6,324.45,139.26,600.0,2389.0,425.5
2023-12-23,512.5,505.0,533.3333333333334,322.00000000000006,334.6,324.45,139.26,600.0,2389.0,425.5
2023-12-24,512.5,505.0,533.3333333333334,322.00000000000006,334.6,324.45,139.26,600.0,2389.0,425.5
2023-12-25,512.5,505.0,533.3333333333334,322.00000000000006,334.6,324.45,139.26,597.5,2389.0,425.5
2023-12-26,512.5,505.0,533.3333333333334,322.00000000000006,334.6,324.45,140.5,597.5,2389.0,419.0
2023-12-27,512.5,505.0,533.3333333333334,322.00000000000006,334.6,324.45,140.95,595.0,2389.0,419.0
2023-12-28,512.5,505.0,533.3333333333334,322.00000000000006,334.6,324.45,137.68,592.5,2389.0,418.0
2023-12-29,502.5,520.0,538.6666666666666,322.00000000000006,327.6,316.68,137.92,592.5,2389.0,415.0
2023-12-30,502.5,520.0,538.6666666666666,322.00000000000006,327.6,316.68,137.92,592.5,2389.0,415.0
2023-12-31,502.5,520.0,538.6666666666666,322.00000000000006,327.6,316.68,137.92,592.5,2389.0,415.0
2024-01-01,502.5,520.0,538.6666666666666,322.00000000000006,327.6,316.68,137.92,592.5,2389.0,415.0
2024-01-02,502.5,520.0,538.6666666666666,322.00000000000006,327.6,316.68,143.72,592.5,2389.0,412.5
2024-01-03,502.5,520.0,538.6666666666666,322.00000000000006,327.6,316.68,144.47,597.5,2389.0,412.5
2024-01-04,502.5,520.0,538.6666666666666,322.00000000000006,327.6,316.68,143.16,600.0,2389.0,420.5
2024-01-05,502.5,517.5,534.0,308.00000000000006,326.20000000000005,328.53,140.34,600.0,2389.0,420.5
2024-01-06,502.5,517.5,534.0,308.00000000000006,326.20000000000005,328.53,140.34,600.0,2389.0,420.5
2024-01-07,502.5,517.5,534.0,308.00000000000006,326.20000000000005,328.53,140.34,600.0,2389.0,420.5
2024-01-08,502.5,517.5,534.0,308.00000000000006,326.20000000000005,328.53,139.91,605.0,2389.0,425.0
2024-01-09,502.5,517.5,534.0,308.00000000000006,326.20000000000005,328.53,139.51,607.5,2389.0,425.0
2024-01-10,502.5,517.5,534.0,308.00000000000006,326.20000000000005,328.53,135.07,612.5,2389.0,426.0
2024-01-11,502.5,517.5,534.0,308.00000000000006,326.20000000000005,328.53,136.99,612.5,2389.0,426.0
2024-01-12,506.0,520.5,530.6666666666666,294.0,319.20000000000005,333.7,132.56,612.5,2389.0,426.0
2024-01-13,506.0,520.5,530.6666666666666,294.0,319.20000000000005,333.7,132.56,612.5,2389.0,426.0
2024-01-14,506.0,520.5,530.6666666666666,294.0,319.20000000000005,333.7,132.56,612.5,2389.0,426.0
2024-01-15,506.0,520.5,530.6666666666666,294.0,319.20000000000005,333.7,129.87,612.5,2389.0,425.0
2024-01-16,506.0,520.5,530.6666666666666,294.0,319.20000000000005,333.7,130.77,612.5,2389.0,425.0
2024-01-17,506.0,520.5,530.6666666666666,294.0,319.20000000000005,333.7,128.48,610.0,2389.0,420.0
2024-01-18,506.0,520.5,530.6666666666666,294.0,319.20000000000005,333.7,131.59,610.0,2389.0,420.0
2024-01-19,510.0,514.0,535.3333333333334,294.0,320.6,333.06,131.25,610.0,2389.0,419.5
2024-01-20,510.0,514.0,535.3333333333334,294.0,320.6,333.06,131.25,610.0,2389.0,419.5
2024-01-21,510.0,514.0,535.3333333333334,294.0,320.6,333.06,131.25,610.0,2389.0,419.5
2024-01-22,510.0,514.0,535.3333333333334,294.0,320.6,333.06,130.17,610.0,2389.0,419.0
2024-01-23,510.0,514.0,535.3333333333334,294.0,320.6,333.06,132.62,610.0,2389.0,419.0
2024-01-24,510.0,514.0,535.3333333333334,294.0,320.6,333.06,136.22,610.0,2389.0,418.5
2024-01-25,510.0,514.0,535.3333333333334,294.0,320.6,333.06,136.72,615.0,2389.0,420.0
2024-01-26,510.0,514.0,533.3333333333334,294.0,322.00000000000006,331.31,136.21,615.0,2389.0,420.0
2024-01-27,510.0,514.0,533.3333333333334,294.0,322.00000000000006,331.31,136.21,615.0,2389.0,420.0
2024-01-28,510.0,514.0,533.3333333333334,294.0,322.00000000000006,331.31,136.21,615.0,2389.0,420.0
2024-01-29,510.0,514.0,533.3333333333334,294.0,322.00000000000006,331.31,137.61,615.0,2389.0,420.0
2024-01-30,510.0,514.0,533.3333333333334,294.0,322.00000000000006,331.31,135.6,615.0,2389.0,420.0
2024-01-31,510.0,514.0,533.3333333333334,294.0,322.00000000000006,331.31,132.63,615.0,2475.0,420.5
2024-02-01,510.0,514.0,533.3333333333334,294.0,322.00000000000006,331.31,133.51,615.0,2475.0,421.5
2024-02-02,515.5,520.0,539.3333333333334,294.0,312.20000000000005,320.29,126.26,615.0,2475.0,422.0
2024-02-03,515.5,520.0,539.3333333333334,294.0,312.20000000000005,320.29,126.26,615.0,2475.0,422.0
2024-02-04,515.5,520.0,539.3333333333334,294.0,312.20000000000005,320.29,126.26,615.0,2475.0,422.0
2024-02-05,515.5,520.0,539.3333333333334,294.0,312.20000000000005,320.29,128.99,615.0,2475.0,422.0
2024-02-06,515.5,520.0,539.3333333333334,294.0,312.20000000000005,320.29,126.55,615.0,2475.0,419.5
2024-02-07,515.5,520.0,539.3333333333334,294.0,312.20000000000005,320.29,126.21,615.0,2475.0,419.5
2024-02-08,515.5,520.0,539.3333333333334,294.0,312.20000000000005,320.29,127.18,615.0,2475.0,419.25
2024-02-09,520.0,527.5,544.0,294.0,312.20000000000005,314.86,127.03,612.5,2475.0,419.0
2024-02-10,520.0,527.5,544.0,294.0,312.20000000000005,314.86,127.03,612.5,2475.0,419.0
2024-02-11,520.0,527.5,544.0,294.0,312.20000000000005,314.86,127.03,612.5,2475.0,419.0
2024-02-12,520.0,527.5,544.0,294.0,312.20000000000005,314.86,127.57,612.5,2475.0,419.0
2024-02-13,520.0,527.5,544.0,294.0,312.20000000000005,314.86,128.07,612.5,2475.0,417.5
2024-02-14,520.0,527.5,544.0,294.0,312.20000000000005,314.86,128.67,610.0,2475.0,417.5
2024-02-15,520.0,527.5,544.0,294.0,312.20000000000005,314.86,128.79,610.0,2475.0,416.0
2024-02-16,515.0,534.0,546.0,294.0,312.20000000000005,314.65,129.54,610.0,2475.0,415.5
2024-02-17,515.0,534.0,546.0,294.0,312.20000000000005,314.65,129.54,610.0,2475.0,415.5
2024-02-18,515.0,534.0,546.0,294.0,312.20000000000005,314.65,129.54,610.0,2475.0,415.5
2024-02-19,515.0,534.0,546.0,294.0,312.20000000000005,314.65,127.26,607.5,2475.0,414.0
2024-02-20,515.0,534.0,546.0,294.0,312.20000000000005,314.65,123.06,607.5,2475.0,413.5
2024-02-21,515.0,534.0,546.0,294.0,312.20000000000005,314.65,121.41,605.0,2475.0,413.5
2024-02-22,515.0,534.0,546.0,294.0,312.20000000000005,314.65,121.84,605.0,2475.0,411.5
2024-02-23,515.0,516.5,550.0,280.0,305.20000000000005,314.59,121.63,605.0,2475.0,405.5
2024-02-24,515.0,516.5,550.0,280.0,305.20000000000005,314.59,121.63,605.0,2475.0,405.5
2024-02-25,515.0,516.5,550.0,280.0,305.20000000000005,314.59,121.63,605.0,2475.0,405.5
2024-02-26,515.0,516.5,550.0,280.0,305.20000000000005,314.59,117.1,602.5,2475.0,405.0
2024-02-27,515.0,516.5,550.0,280.0,305.20000000000005,314.59,119.79,602.5,2475.0,404.0
2024-02-28,515.0,516.5,550.0,280.0,305.20000000000005,314.59,118.23,598.0,2475.0,395.0
2024-02-29,515.0,516.5,550.0,280.0,305.20000000000005,314.59,118.52,594.0,2545.0,395.0
2024-03-01,505.0,532.5,546.6666666666666,266.0,303.8,305.47,115.84,592.5,2545.0,390.5
2024-03-02,505.0,532.5,546.6666666666666,266.0,303.8,305.47,115.84,592.5,2545.0,390.5
2024-03-03,505.0,532.5,546.6666666666666,266.0,303.8,305.47,115.84,592.5,2545.0,390.5
2024-03-04,505.0,532.5,546.6666666666666,266.0,303.8,305.47,117.7,590.0,2545.0,383.5
2024-03-05,505.0,532.5,546.6666666666666,266.0,303.8,305.47,117.57,590.0,2545.0,383.5
2024-03-06,505.0,532.5,546.6666666666666,266.0,303.8,305.47,115.71,587.5,2545.0,376.0
2024-03-07,505.0,532.5,546.6666666666666,266.0,303.8,305.47,118.86,590.0,2545.0,378.0
2024-03-08,500.0,523.5,544.6666666666666,266.0,294.0,298.66,116.6,590.0,2545.0,378.0
2024-03-09,500.0,523.5,544.6666666666666,266.0,294.0,298.66,116.6,590.0,2545.0,378.0
2024-03-10,500.0,523.5,544.6666666666666,266.0,294.0,298.66,116.6,590.0,2545.0,378.0
2024-03-11,500.0,523.5,544.6666666666666,266.0,294.0,298.66,109.03,587.5,2545.0,378.0
2024-03-12,500.0,523.5,544.6666666666666,266.0,294.0,298.66,111.0,587.5,2545.0,380.0
2024-03-13,500.0,523.5,544.6666666666666,266.0,294.0,298.66,107.78,587.5,2545.0,380.0
2024-03-14,500.0,523.5,544.6666666666666,266.0,294.0,298.66,105.43,587.5,2545.0,379.0
